id,source,title,language,date,audio_duration,video_duration,speaker,series_name,series_part,series_order,scripture_osis,scripture_book,kind,is_conference,soundcloud_id,youtube_id,topics
sc-1976793323,soundcloud,L'Alliance de grâce éternelle au sein de La Trinité,fr,2024-12-08,3886,,David Pelosi,Épître aux Galates,,35,Gal.3.15,Gal,sermon,False,1976793323,,
sc-1976723199,soundcloud,Christ la nourriture suprême de l'âme,fr,2024-12-08,4143,,David Pelosi,Épître aux Galates,,53,Gal.5.21,Gal,sermon,False,1976723199,,
sc-1976072175,soundcloud,Christ notre Justice,fr,2024-12-07,4241,,David Pelosi,Épître aux Galates,,34,Gal.3.14,Gal,sermon,False,1976072175,,
sc-1976035711,soundcloud,Christ fait Malédiction,fr,2024-12-07,3663,,David Pelosi,Épître aux Galates,2,33,Gal.3.13,Gal,sermon,False,1976035711,,
sc-1976021207,soundcloud,,fr,2024-12-07,3397,,David Pelosi,Épître aux Galates,1,32,Gal.3.13,Gal,sermon,False,1976021207,,
sc-1976014023,soundcloud,,fr,2024-12-07,3664,,David Pelosi,Épître aux Galates,,31,Gal.3.10,Gal,sermon,False,1976014023,,
sc-1976000211,soundcloud,,fr,2024-12-07,3391,,David Pelosi,Épître aux Galates,,30,Gal.3.5,Gal,sermon,False,1976000211,,
sc-1975793171,soundcloud,Les œuvres et artifices des anges déchus,fr,2024-12-07,3771,,David Pelosi,Évangile de Marc,,1,Mark.1.9-Mark.1.28,Mark,sermon,False,1975793171,,
sc-1973493847,soundcloud,,fr,2024-12-04,3195,,David Pelosi,Épître aux Galates,,29,Gal.3.5,Gal,sermon,False,1973493847,,
sc-1972184391,soundcloud,,fr,2024-12-02,3351,,David Pelosi,Épître aux Galates,,28,Gal.3.5,Gal,sermon,False,1972184391,,
sc-1972171667,soundcloud,,fr,2024-12-02,3394,,David Pelosi,Épître aux Galates,,27,Gal.3.5,Gal,sermon,False,1972171667,,
sc-1972164591,soundcloud,,fr,2024-12-02,3673,,David Pelosi,Épître aux Galates,3,26,Gal.3.1,Gal,sermon,False,1972164591,,
sc-1972155759,soundcloud,,fr,2024-12-02,3758,,David Pelosi,Épître aux Galates,2,25,Gal.3.1,Gal,sermon,False,1972155759,,
sc-1972155507,soundcloud,L'intempérance : plutôt un péché qu'une maladie,fr,2024-12-02,4067,,David Pelosi,Épître aux Galates,,52,Gal.5.21,Gal,sermon,False,1972155507,,
sc-1972147783,soundcloud,,fr,2024-12-02,4275,,David Pelosi,Épître aux Galates,1,24,Gal.3.1,Gal,sermon,False,1972147783,,
sc-1972127991,soundcloud,,fr,2024-12-02,3580,,David Pelosi,Épître aux Galates,,23,Gal.3.1,Gal,sermon,False,1972127991,,
sc-1972060643,soundcloud,,fr,2024-12-02,4008,,David Pelosi,Épître aux Galates,,22,Gal.2.17,Gal,sermon,False,1972060643,,
sc-1971895351,soundcloud,,fr,2024-12-02,3434,,David Pelosi,Épître aux Galates,,21,Gal.2.17,Gal,sermon,False,1971895351,,
sc-1971776595,soundcloud,Galates Ch. 2 v 15 à 16,fr,2024-12-02,3690,,David Pelosi,Épître aux Galates,2,20,Gal.2.15,Gal,sermon,False,1971776595,,
sc-1970210631,soundcloud,L'état originel et la chute de Satan,fr,2024-11-29,3918,,David Pelosi,Évangile de Luc,,3,Luke.10.17-Luke.10.24,Luke,sermon,False,1970210631,,
sc-1966143915,soundcloud,L'ancre de l'âme,fr,2024-11-24,3367,,David Pelosi,Épître aux Hébreux,,24,Heb.6.19,Heb,sermon,False,1966143915,,
sc-1965241527,soundcloud,Introduction aux anges déchus,fr,2024-11-23,3156,,David Pelosi,Évangile de Luc,,2,Luke.10.17-Luke.10.24,Luke,sermon,False,1965241527,,
sc-1960833719,soundcloud,Notre inimitié expiée à la croix,fr,2024-11-18,4306,,David Pelosi,Épître aux Galates,,51,Gal.5.20,Gal,sermon,False,1960833719,,
sc-1959631311,soundcloud,L'occupation des anges élus,fr,2024-11-16,3236,,David Pelosi,,,,Rev.5.8-Rev.5.14,Rev,sermon,False,1959631311,,
sc-1954725199,soundcloud,L'origine et nature des anges,fr,2024-11-10,3256,,David Pelosi,Épître aux Hébreux,,1,Heb.1.1-Heb.1.14,Heb,sermon,False,1954725199,,
sc-1954723351,soundcloud,L'aspect abominable de l'inimitié,fr,2024-11-10,3750,,David Pelosi,Épître aux Galates,,50,Gal.5.20,Gal,sermon,False,1954723351,,
sc-1949030511,soundcloud,Les manifestations variables de l'inimitié,fr,2024-11-04,3934,,David Pelosi,Épître aux Galates,,49,Gal.5.20,Gal,sermon,False,1949030511,,
sc-1947861891,soundcloud,La lecture naturelle de la création,fr,2024-11-02,3009,,David Pelosi,Étude — Genèse,,1,Gen.1.1-Gen.2.3,Gen,sermon,False,1947861891,,Création; Herméneutique; Image de Dieu; Anthropologie biblique; Confession de foi; Perspicuité des Écritures; Sabbat
sc-1943259707,soundcloud,Vivre pour la gloire de Dieu,fr,2024-10-27,3404,,David Pelosi,Épître aux Romains,,4,Rom.11.32-Rom.11.36,Rom,sermon,False,1943259707,,
